element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""9167.7946""","=""0.0003""","=""9167.79473""","=""0.00010""","=""210""","=""""",,"=""2.347057245""","=""3.699074652""","=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Th,1,"=""9167.8262""","=""0.0007""","=""9167.82763""","=""0.00008""","=""63""","=""""",,"=""1.592945153""","=""2.944957708""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Sc,2,"=""9168.165""","=""0.010""","=""9168.144""","=""0.010""","=""0""","=""""",,"=""8.399151""","=""9.751117""","=""3p6.3d.5p""","=""1F*""","=""3""","=""3p6.3d.5d""","=""3G""","=""3""",,"=""""","=""L5141""",
V,1,"=""9168.76""","=""0.08""","=""9168.7287""","=""0.0013""","=""20000*""","=""""",,"=""3.24490427""","=""4.59678396""","=""3d4.(5D).4p""","=""y 4F*""","=""9/2""","=""3d5""","=""e 4F""","=""9/2""",,"=""""","=""L14162""",
V,1,"=""9168.76""","=""0.08""","=""9168.8632""","=""0.0012""","=""20000*""","=""""",,"=""3.23872689&dagger;""","=""4.59058673""","=""3d4.(5D).4p""","=""y 4F*""","=""7/2""","=""3d5""","=""e 4F""","=""7/2""",,"=""""","=""L14162""",
Ar,2,"=""9168.917""","=""0.010""","=""9168.9115""","=""0.0008""","=""1""","=""""",,"=""22.82463962""","=""24.17649235""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Fe,1,"=""9169.323""","=""0.007""","=""9169.3232""","=""0.0012""","=""10""","=""""",,"=""4.30127816""","=""5.65307019""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""0""",,"=""""","=""L11631""",
W,1,"=""9169.77""","=""0.10""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Fe,1,"=""9169.779""","=""0.007""","=""9169.7825""","=""0.0019""","=""21""","=""""",,"=""5.81343520""","=""7.16515953""","=""3d7.(4P).4p""","=""u 5D*""","=""2""","=""3d7.(4F).6s""","=""3F""","=""2""",,"=""""","=""L11631""",
Sr,1,"=""9170.0""","=""0.2""","=""9169.500""","=""0.009""","=""40""","=""""",,"=""4.1940010""","=""5.5457669""","=""4d.5p""","=""1D*""","=""2""","=""4d2""","=""3P""","=""2""",,"=""""","=""L2631""",
In,1,"=""9170.08""","=""0.10""","=""9170.08""","=""0.10""","=""10""","=""""",,"=""3.9448030""","=""5.296483""","=""5s2.6p""","=""2P*""","=""1/2""","=""5s2.9s""","=""2S""","=""1/2""",,"=""""","=""L4218""",
Fe,2,"=""9170.0854""","=""0.0018""","=""9170.0869""","=""0.0014""","=""6""","=""""",,"=""11.4333753""","=""12.7850548""","=""3d6.(3P1).4p""","=""u 2D*""","=""3/2""","=""3d6.(5D).6s""","=""4D""","=""3/2""",,"=""""","=""L18349c139""",
Ti,1,"=""9170.444""","=""0.010""","=""9170.447""","=""0.003""","=""11""","=""""",,"=""3.9214575""","=""5.27308384""","=""3d3.(4F).4p""","=""w 3G*""","=""5""","=""3d2.4s.(4F).4d""","=""3H""","=""6""",,"=""""","=""L10989""",
Cr,2,"=""9170.704""","=""0.005""","=""9170.705""","=""0.003""","=""2""","=""""",,"=""11.74740732""","=""13.09899567""","=""3d4.(5D).5p""","=""4F*""","=""9/2""","=""3d4.(5D).6s""","=""6D""","=""9/2""",,"=""""","=""L18847""",
Th,1,"=""9170.8216""","=""0.0003""","=""9170.82158""","=""0.00006""","=""360""","=""""",,"=""1.388254945""","=""2.739826117""","=""5f.6d.7s2""","=""3H*""","=""5""","=""5f.6d.7s.7p""","=""5I""","=""4""",,"=""""","=""L5951""",
Ca,1,"=""9171.14""","=""0.10""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L6097""",
Th,1,"=""9171.262""","=""0.008""","=""9171.27398""","=""0.00020""","=""110""","=""""",,"=""2.790642114""","=""4.14214662""","=""6d2.7s.7p""","=""5P*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Fe,2,"=""9171.6858""","=""0.0008""","=""9171.6862""","=""0.0006""","=""40""","=""4.0e+06""",C+,"=""9.7607579""","=""11.1122017""","=""3d6.(5D).5s""","=""e 6D""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Co,2,"=""9171.841""","=""0.003""","=""9171.8511""","=""0.0025""","=""7""","=""1.4e+06""",D,"=""10.61257253""","=""11.9639920""","=""3d7.(4F).5s""","=""e 5F""","=""2""","=""3d7.(4F).5p""","=""5F*""","=""3""",,"=""T6999""","=""L9429c118""",
Cs,1,"=""9172.3178""","=""0.0008""","=""9172.3172""","=""0.0008""","=""""","=""""",,"=""1.454620692074""","=""2.80597149""","=""5p6.6p""","=""2P*""","=""3/2""","=""5p6.6d""","=""2D""","=""5/2""",,"=""""","=""L4744""",
Fe,1,"=""9173.195""","=""0.003""","=""9173.1935""","=""0.0012""","=""234""","=""""",,"=""2.60850194""","=""3.95972364""","=""3d6.4s2""","=""b 3F2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""9173.543""","=""0.013""","=""9173.538""","=""0.003""","=""4370""","=""""",,"=""5.92794713""","=""7.2791181""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""4""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""3""",,"=""""","=""L11631""",
Br,1,"=""9173.629""","=""0.022""","=""9173.63+""","=""0.12""","=""15000""","=""2.9e+07""",C+,"=""8.551216""","=""9.902374""","=""4s2.4p4.(3P<0>).5s""","=""2[0]""","=""1/2""","=""4s2.4p4.(3P<0>).5p""","=""2[1]*""","=""1/2""",,"=""T6936n,T9382""","=""L351""",
Fe,1,"=""9173.675""","=""0.003""","=""9173.6750""","=""0.0012""","=""132""","=""""",,"=""5.06378173""","=""6.41493251""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""9173.961""","=""0.003""","=""9173.9612""","=""0.0012""","=""16""","=""""",,"=""3.30092244""","=""4.65203107""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d7.(4F).4p""","=""y 3F*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""9174.218""","=""0.013""","=""9174.2188""","=""0.0019""","=""45""","=""""",,"=""5.40986861""","=""6.76093930""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""2""","=""3d7.(4F).5p""","=""5D*""","=""2""",,"=""""","=""L11631""",
Th,1,"=""9175.085""","=""0.008""","=""9175.0739""","=""0.0003""","=""110""","=""""",,"=""2.836450667""","=""4.18739544""","=""""","=""*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L3552""",
Fe,2,"=""9175.2812""","=""0.0004""","=""9175.2822""","=""0.0007""","=""100""","=""7.e+06""",E,"=""12.3455088""","=""13.6964229""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""","=""3d6.(3F2).5p""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
W,1,"=""9175.52""","=""0.10""","=""9175.465""","=""0.067""","=""2""","=""""",,"=""2.532729""","=""3.883617""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
P,1,"=""9175.819""","=""0.010""","=""9175.813""","=""0.010""","=""180""","=""5.0e+06""",D,"=""6.9356043""","=""8.2864403""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
Fe,2,"=""9175.9204""","=""0.0004""","=""9175.9197""","=""0.0007""","=""1000""","=""2.98e+07""",B+,"=""9.9045425""","=""11.2553628""","=""3d6.(5D).5s""","=""e 4D""","=""5/2""","=""3d6.(5D).5p""","=""4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Cr,2,"=""9175.9783""","=""0.0014""","=""9175.9810""","=""0.0017""","=""4""","=""""",,"=""10.27594646""","=""11.62675769""","=""3d4.(5D).5s""","=""e 6D""","=""5/2""","=""3d4.(5D).5p""","=""6D*""","=""5/2""",,"=""""","=""L18847""",
Co,2,"=""9176.013""","=""0.005""","=""9176.001""","=""0.005""","=""3""","=""1.3e+04""",E,"=""12.3035919""","=""13.6544001""","=""3d7.(4P).5s""","=""5P""","=""2""","=""3d7.(4F<9/2>).4f""","=""2[7/2]*""","=""3""",,"=""T6999""","=""L9429c118""",
Fe,2,"=""9176.4252""","=""0.0007""","=""9176.4251""","=""0.0006""","=""16""","=""""",,"=""12.8923104""","=""14.2430563""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""","=""3d6.(3G).5p""","=""2G*""","=""9/2""",,"=""""","=""L18349c139""",
Sc,2,"=""9176.445""","=""0.010""","=""9176.417""","=""0.010""","=""0""","=""""",,"=""8.244039""","=""9.594786""","=""3p6.3d.5p""","=""3D*""","=""2""","=""3p6.3d.6s""","=""3D""","=""3""",,"=""""","=""L5141""",
Th,1,"=""9176.968""","=""0.008""","=""9176.96675""","=""0.00017""","=""110""","=""""",,"=""2.715535366""","=""4.06620149""","=""5f.6d2.7s""","=""3H*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Hf,1,"=""9177.230""","=""0.015""","=""9177.2413""","=""0.0025""","=""1100""","=""5.0e+05""",C+,"=""1.8276129""","=""3.17823864""","=""5d3.(b 4F).6s""","=""a 5F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""2""",,"=""T5346""","=""L16323""",
W,1,"=""9177.39""","=""0.10""","=""9177.385""","=""0.067""","=""7""","=""2.5e+04""",D,"=""2.786753""","=""4.137358""","=""5d5.(4D).6s""","=""5D""","=""4""","=""5d4.6s.(6D).6p""","=""5F*""","=""5""",,"=""T4976""","=""L153""",
Ne,2,"=""9177.779""","=""0.020""","=""9177.78""","=""0.03""","=""80""","=""""",,"=""39.2883828""","=""40.638929""","=""2s2.2p4.(1D).4p""","=""2F*""","=""5/2""","=""2s2.2p4.(1D).4d""","=""2G""","=""7/2""",,"=""""","=""L1406""",
Fe,2,"=""9177.7957""","=""0.0005""","=""9177.7966""","=""0.0005""","=""80bl(Ne)""","=""4.8e+06""",C+,"=""11.4345108""","=""12.7850548""","=""3d6.(5D).5p""","=""4P*""","=""3/2""","=""3d6.(5D).6s""","=""4D""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""9178.0595""","=""0.0004""","=""9178.0586""","=""0.0005""","=""600""","=""3.04e+07""",B+,"=""9.9408057""","=""11.2913111""","=""3d6.(5D).5s""","=""e 4D""","=""3/2""","=""3d6.(5D).5p""","=""4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Br,1,"=""9178.161""","=""0.022""","=""9178.18+""","=""0.12""","=""20000""","=""2.8e+07""",C+,"=""8.329702""","=""9.680190""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""4s2.4p4.(3P<1>).5p""","=""2[0]*""","=""1/2""",,"=""T6936n,T9382""","=""L351""",
Co,2,"=""9178.178""","=""0.003""","=""9178.1993""","=""0.0025""","=""13i""","=""6.e+05""",D,"=""12.0880165""","=""13.43850121""","=""3d7.(4F).5p""","=""3D*""","=""3""","=""3d7.(2G).4d""","=""3H""","=""4""",,"=""T6999""","=""L9429c118""",
Fe,2,"=""9178.362""","=""0.002""","=""9178.351""","=""0.006""","=""6""","=""""",,"=""12.7821371""","=""14.1325995""","=""3d5.4s.(7S).5s""","=""8S""","=""7/2""","=""3d6.(5D<0>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c145""",
Fe,1,"=""9178.560""","=""0.003""","=""9178.5625""","=""0.0012""","=""132""","=""""",,"=""4.95563019""","=""6.30606149""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""3""",,"=""""","=""L11631""",
F,1,"=""9178.68""","=""0.03""","=""9178.67+""","=""0.12""","=""350""","=""1.93e+07""",C+,"=""14.583383""","=""15.933798""","=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""4F""","=""7/2""",,"=""T7043""","=""L7481""",
Th,1,"=""9178.77910""","=""0.00012""","=""9178.77897""","=""0.00009""","=""1000""","=""""",,"=""1.920914392""","=""3.271313846""","=""6d3.(2H).7s""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Fe,2,"=""9178.8198""","=""0.0006""","=""9178.8195""","=""0.0007""","=""17""","=""""",,"=""12.8926628""","=""14.2430563""","=""3d6.(3H).4d""","=""4H""","=""7/2""","=""3d6.(3G).5p""","=""2G*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,1,"=""9178.971""","=""0.003""","=""9178.9746""","=""0.0012""","=""16""","=""""",,"=""4.95563019""","=""6.30600086""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""2""",,"=""""","=""L11631""",
Hf,1,"=""9179.300""","=""0.015""","=""""","=""""","=""46""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Cu,2,"=""9179.306""","=""0.012""","=""9179.319""","=""0.007""","=""610""","=""""",,"=""17.1833477""","=""18.5336677""","=""3d9.(2D<3/2>).5d""","=""2[1/2]""","=""1""","=""3d9.(2D<3/2>).7p""","=""2[1/2]*""","=""1""",,"=""""","=""L1408c171,c172""",
Fe,2,"=""9179.4918""","=""0.0005""","=""9179.4921""","=""0.0007""","=""500""","=""1.33e+07""",B+,"=""9.7002396""","=""11.0505342""","=""3d6.(5D).5s""","=""e 6D""","=""7/2""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""9179.743""","=""0.003""","=""9179.7424""","=""0.0012""","=""51""","=""""",,"=""4.58004944""","=""5.93030716""","=""3d7.(2F).4s""","=""d 3F""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""2""",,"=""""","=""L11631""",
Th,1,"=""9179.8258""","=""0.0008""","=""9179.82579""","=""0.00006""","=""40""","=""""",,"=""1.920524884""","=""3.270770347""","=""5f.6d.7s2""","=""3G*""","=""5""","=""5f.6d.7s.7p""","=""5H""","=""5""",,"=""""","=""L5951""",
Ba,3,"=""9180.23""","=""0.03""","=""9180.242""","=""0.020""","=""2""","=""""",,"=""26.956731""","=""28.306915""","=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L3667""",
Fe,2,"=""9181.0203""","=""0.0005""","=""9181.0230""","=""0.0008""","=""33bl(Fe I)""","=""2.0e+06""",E,"=""12.1646572""","=""13.5147266""","=""3d6.(3P2).5s""","=""4P""","=""3/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
Fe,1,"=""9181.021""","=""0.003""","=""9181.0230""","=""0.0019""","=""148""","=""""",,"=""5.64908881""","=""6.99915820""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""3""","=""3d6.4s.(6D).5d""","=""7D""","=""4""",,"=""""","=""L11631""",
Fr,1,"=""9181.62""","=""0.05""","=""9181.62""","=""0.05""","=""""","=""3.61e+05""",,"=""2.012247""","=""3.362230""","=""6d""","=""2D""","=""3/2""","=""9p""","=""2P*""","=""1/2""",,"=""T6898""","=""L12264""",
W,1,"=""9181.75""","=""0.10""","=""9181.676""","=""0.067""","=""4""","=""""",,"=""3.051360""","=""4.401334""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
Se,1,"=""9181.88""","=""0.10""","=""""","=""""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2647""",
Th,1,"=""9181.8962""","=""0.0008""","=""9181.89668""","=""0.00013""","=""44""","=""""",,"=""2.519639824""","=""3.869580753""","=""5f.6d.7s2""","=""1H*""","=""5""","=""6d4""","=""1I""","=""6""",,"=""""","=""L5951""",
Hf,1,"=""9182.140""","=""0.015""","=""9182.139""","=""0.004""","=""2900""","=""1.6e+06""",C+,"=""2.0787980""","=""3.42870341""","=""5d3.(b 4F).6s""","=""a 5F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""3""",,"=""T5346""","=""L16323""",
W,1,"=""9182.46""","=""0.10""","=""9182.392""","=""0.067""","=""1""","=""""",,"=""2.908052""","=""4.257920""","=""5d5.(4D).6s""","=""5D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153c23""",
C,1,"=""9182.87""","=""0.04""","=""9182.87188""","=""0.00021""","=""100000bl""","=""2.8e+05""",C,"=""9.00258381""","=""10.35238138""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.4d""","=""1D*""","=""2""",,"=""T5520,T6070""","=""L9405c184""",
Tl,1,"=""9183.1""","=""1.0""","=""""","=""""","=""2w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4830""",
La,3,"=""9184.38""","=""0.10""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L245""",
Fe,1,"=""9185.225""","=""0.007""","=""9185.2246""","=""0.0012""","=""13""","=""""",,"=""4.59311043""","=""5.94256226""","=""3d7.(2F).4s""","=""d 3F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",,"=""""","=""L11631""",
Th,1,"=""9186.364""","=""0.008""","=""9186.36064""","=""0.00018""","=""53""","=""""",,"=""2.790642114""","=""4.13992706""","=""6d2.7s.7p""","=""5P*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L3552""",
Cr,2,"=""9186.627""","=""0.010""","=""9186.6241""","=""0.0017""","=""3""","=""""",,"=""10.25250292""","=""11.60174917""","=""3d4.(5D).5s""","=""e 6D""","=""1/2""","=""3d4.(5D).5p""","=""6D*""","=""3/2""",,"=""""","=""L18847""",
Fe,2,"=""9187.1832""","=""0.0004""","=""9187.1829""","=""0.0005""","=""1000""","=""2.30e+07""",B+,"=""9.7002396""","=""11.0494038""","=""3d6.(5D).5s""","=""e 6D""","=""7/2""","=""3d6.(5D).5p""","=""6D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""9187.5650""","=""0.0003""","=""9187.56511""","=""0.00007""","=""290""","=""""",,"=""2.238363337""","=""3.587471399""","=""6d.7s2.7p""","=""3F*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Fe,2,"=""9188.4834""","=""0.0005""","=""9188.4833""","=""0.0006""","=""25""","=""7.e+06""",E,"=""12.3597808""","=""13.7087540""","=""3d6.(3F2).5s""","=""f 4F""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""9188.504""","=""0.008""","=""9188.51697""","=""0.00012""","=""110""","=""""",,"=""2.621450226""","=""3.970418531""","=""6d3.(2H).7s""","=""1H""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L3552""",
Kr,1,"=""9188.69""","=""0.10""","=""9188.663+""","=""0.008""","=""2""","=""""",,"=""12.1117410""","=""13.46068780""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",,"=""""","=""L6099""",
Co,2,"=""9188.8948""","=""0.0020""","=""9188.8971""","=""0.0018""","=""26""","=""2.4e+05""",D,"=""12.2308572""","=""13.5797697""","=""3d7.(4F).5p""","=""3D*""","=""2""","=""3d7.(4F).6s""","=""5F""","=""3""",,"=""T6999""","=""L9429c118""",
Ba,1,"=""9189.391""","=""0.010""","=""9189.390+""","=""0.012""","=""12""","=""""",,"=""2.7356673""","=""4.0845074""","=""5d.6p""","=""3F*""","=""2""","=""5d.7s""","=""3D""","=""2""",,"=""""","=""L9224""",
Fe,1,"=""9189.408""","=""0.007""","=""9189.4090""","=""0.0012""","=""9""","=""""",,"=""4.60695104""","=""5.95578840""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d7.(4F).5s""","=""e 5F""","=""2""",,"=""""","=""L11631""",
Ti,1,"=""9189.833""","=""0.010""","=""9189.823""","=""0.003""","=""8""","=""""",,"=""3.9041974""","=""5.25297410""","=""3d3.(4F).4p""","=""w 3G*""","=""4""","=""3d2.4s.(4F).4d""","=""3H""","=""5""",,"=""""","=""L10989""",
Be,1,"=""9190.45""","=""0.02""","=""9190.45""","=""0.03""","=""3*""","=""1.79e+05""",A,"=""7.693683""","=""9.042368""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.7f""","=""3F*""","=""3""",,"=""u28""","=""L483""",
Be,1,"=""9190.45""","=""0.02""","=""9190.45""","=""0.03""","=""3*""","=""1.35e+06""",A,"=""7.6936830""","=""9.042367""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.7f""","=""3F*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""9190.45""","=""0.02""","=""9190.45""","=""0.03""","=""3*""","=""1.43e+06""",A,"=""7.693683""","=""9.042368""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.7f""","=""3F*""","=""3""",,"=""u28""","=""L483""",
Be,1,"=""9190.45""","=""0.02""","=""9190.46""","=""0.03""","=""3*""","=""7.15e+03""",A,"=""7.693683""","=""9.042367""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.7f""","=""3F*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""9190.45""","=""0.02""","=""9190.46""","=""0.03""","=""3*""","=""2.50e+05""",A,"=""7.693683""","=""9.042367""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.7f""","=""3F*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""9190.45""","=""0.02""","=""9190.5""","=""0.7""","=""3*""","=""""",,"=""7.693683""","=""9.04237""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.7f""","=""3F*""","=""4""",,"=""""","=""L483""",
Ne,2,"=""9190.957""","=""0.020""","=""9190.96""","=""0.03""","=""80""","=""""",,"=""39.2902410""","=""40.638851""","=""2s2.2p4.(1D).4p""","=""2F*""","=""7/2""","=""2s2.2p4.(1D).4d""","=""2G""","=""9/2""",,"=""""","=""L1406""",
Ar,2,"=""9191.185""","=""0.004""","=""9191.17819""","=""0.00018""","=""7""","=""""",,"=""21.351799846""","=""22.700377572""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""""","=""L11520""",
Th,1,"=""9191.681""","=""0.008""","=""9191.69462""","=""0.00009""","=""110""","=""""",,"=""1.731131837""","=""3.079633793""","=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L3552""",
Cl,1,"=""9191.731""","=""0.010""","=""9191.731""","=""0.010""","=""3000""","=""2.1e+07""",D,"=""8.9874370""","=""10.3359337""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""1/2""",,"=""T1619CA,LS""","=""L298""",
Ar,2,"=""9192.5919""","=""0.0007""","=""9192.5927""","=""0.0005""","=""31""","=""""",,"=""22.81135843""","=""24.15972864""","=""3s2.3p4.(3P).4d""","=""4D""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Hf,1,"=""9193.300""","=""0.015""","=""9193.289""","=""0.008""","=""3500""","=""""",,"=""1.7472218""","=""3.0954898""","=""5d3.(b 4F).6s""","=""a 5F""","=""1""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""0""",,"=""""","=""L16323""",
Fe,2,"=""9193.3451""","=""0.0016""","=""9193.3444""","=""0.0015""","=""7""","=""9.e+04""",D+,"=""11.6335565""","=""12.9818165""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""5/2""","=""3d6.(5D).5d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Ti,3,"=""9193.52""","=""0.10""","=""9193.56+""","=""0.12""","=""1""","=""""",,"=""19.681366""","=""21.029595""","=""3p6.3d.4f""","=""3G*""","=""3""","=""3p6.3d.5d""","=""3F""","=""2""",,"=""""","=""L3593""",
Th,1,"=""9193.59235""","=""0.00018""","=""9193.59232""","=""0.00007""","=""520""","=""""",,"=""1.501989980""","=""2.850213586""","=""5f.6d.7s2""","=""1D*""","=""2""","=""5f.6d.7s.7p""","=""5G""","=""2""",,"=""""","=""L5951""",
Xe,2,"=""9193.8""","=""1.0""","=""9193.88+""","=""0.12""","=""2h""","=""""",,"=""12.745460""","=""14.093642""","=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""3/2""","=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""1/2""",,"=""""","=""L6925""",
Ne,1,"=""9193.80""","=""0.10""","=""9193.80""","=""0.10""","=""1*""","=""""",,"=""20.04842449""","=""21.396618""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).9f""","=""2[7/2]""","=""4""",,"=""""","=""L6099""",
